Station,Distance Total,Distance Between,,
VIRAR,59.98,4.13,,0
Nalla Sopara,55.85,4.07,4.13,4.13
Vasai Road,51.78,3.99,4.07,8.2
Naigaon,47.79,4.68,3.99,12.19
Bhayandar,43.11,3.35,4.68,16.87
Mira Road,39.76,3.42,3.35,20.22
Dahisar,36.34,2.36,3.42,23.64
BORIVALI,33.98,2.76,2.36,26
Kandivli,31.22,1.9,2.76,28.76
Malad,29.32,2.42,1.9,30.66
Goregaon,26.9,1.35,2.42,33.08
Ram Mandir,25.55,2.03,1.35,34.43
Jogeshwari,23.52,1.69,2.03,36.46
ANDHERI,21.83,2.16,1.69,38.15
Vile Parle,19.67,2.06,2.16,40.31
Santa Cruz,17.61,1.32,2.06,42.37
Khar Road,16.29,1.63,1.32,43.69
BANDRA,14.66,1.73,1.63,45.32
Mahim Jn,12.93,1.18,1.73,47.05
Matunga Road,11.75,1.58,1.18,48.23
DADAR,10.17,1.19,1.58,49.81
Prabhadevi,8.98,1.31,1.19,51
Lower Parel,7.67,1.72,1.31,52.31
Mahalakshmi,5.95,1.47,1.72,54.03
MUMBAI CENTRAL,4.48,0.89,1.47,55.5
Grant Road,3.59,1.38,0.89,56.39
Charni Road,2.21,0.91,1.38,57.77
Marine Lines,1.3,1.3,0.91,58.68
CHURCHGATE,0,0,1.3,59.98
